,meetboutidentificatie,adres,locatie,status_id,status_omschrijving,vervaldatum,merk_id,merk_omschrijving,xmuurvlak,ymuurvlak,windrichting,bouwblok_code,geometrie,publiceerbaar
0,10281154,Geuzenstraat 27,,1,Actueel,,14,Inbusbout,,,,BC15,POINT (119411.7 487201.6),J
1,10281155,Geuzenstraat 15,,1,Actueel,,14,Inbusbout,,,,BC15,POINT (119413.7 487167.3),J
2,10281156,Korte Geuzenstraat 99,,1,Actueel,,14,Inbusbout,,,,BC17,POINT (119468.8 487149.7),J
3,10281157,Korte Geuzenstraat 98,,1,Actueel,,14,Inbusbout,,,,BC17,POINT (119436.2 487140.9),J
4,10281158,Korte Geuzenstraat 98-100,,1,Actueel,,14,Inbusbout,,,,BC17,POINT (119425.9 487123.4),J
5,10281159,Admiraal de Ruijterweg 26,,1,Actueel,,14,Inbusbout,,,,BC17,POINT (119434.0 487091.6),J
6,10281160,Bestevaerstraat 59,,1,Actueel,,14,Inbusbout,,,,BC07,POINT (119069.5 487542.0),J
7,10281161,Bestevaerstraat 27,,1,Actueel,,14,Inbusbout,,,,BC07,POINT (119090.9 487423.7),J
8,10281162,Bestevaerstraat 1,,1,Actueel,,14,Inbusbout,,,,BC07,POINT (119111.2 487311.0),J
9,10281163,Admiraal de Ruijterweg 98-100,,1,Actueel,,14,Inbusbout,,,,BC07,POINT (119059.4 487302.3),J
10,10281164,Admiraal de Ruijterweg 132,,1,Actueel,,14,Inbusbout,,,,BC07,POINT (119038.5 487416.9),J
11,10281165,Admiraal de Ruijterweg 160,,1,Actueel,,14,Inbusbout,,,,BC07,POINT (119017.2 487534.0),J
12,10281166,Maarten Harpertszoon Trompstaat 14,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119130.5 487287.9),J
13,10281167,Bestevaerstraat 18-16,(meterbaakje),1,Actueel,,14,Inbusbout,,,,BC08,POINT (119116.6 487363.0),J
14,10281168,Bestevaerstraat 38,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119100.5 487451.9),J
15,10281169,Bestevaerstraat 46-48,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119090.3 487508.8),J
16,10281170,Jan van Galenstraat 107G,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119084.4 487551.0),J
17,10281171,Jan van Galenstraat 107A,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119133.7 487560.1),J
18,10281172,Reinier Claeszenstraat 73,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119204.2 487558.1),J
19,10281173,Reinier Claeszenplein 20,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119209.3 487526.3),J
20,10281174,Reinier Claeszenplein 10,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119171.8 487519.6),J
21,10281175,Lumeystraat 45,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119156.2 487473.2),J
22,10281176,Lumeystraat 31,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119163.7 487415.6),J
23,10281177,Lumeystraat 13,,1,Actueel,,14,Inbusbout,,,,BC08,POINT (119174.3 487334.0),J
24,10281178,Maarten Harpertszoon Trompstraat 24,in de Lumeijstraat(verstoord dec.2001),1,Actueel,,14,Inbusbout,,,,BC08,POINT (119181.8 487273.6),J
25,10281179,Maarten Harpertszoon Trompstraat 26,,1,Actueel,,14,Inbusbout,,,,BC09,POINT (119198.2 487265.7),J
26,10281180,,Lumeijstraat 28,1,Actueel,,14,Inbusbout,0.0,0.0,,BC09,POINT (119184.3 487370.5),J
27,10281181,,Lumeijstraat 50,1,Actueel,,14,Inbusbout,0.0,0.0,,BC09,POINT (119172.7 487460.3),J
28,10281182,Lumeijstraat 62,gevel Reinier Claeszenplein (niet te meten),1,Actueel,,14,Inbusbout,0.0,0.0,,BC09,POINT (119168.8 487493.5),J
29,10281183,Reinier Claeszenstraat 61,,1,Actueel,,14,Inbusbout,,,,BC09,POINT (119223.8 487503.1),J
30,10281184,Reinier Claeszenstraat 47,,1,Actueel,,14,Inbusbout,,,,BC09,POINT (119230.7 487441.1),J
31,10281185,Reinier Claeszenstraat 25-27,,1,Actueel,,14,Inbusbout,,,,BC09,POINT (119239.7 487351.9),J
32,10281186,Maarten Harpertszoon Trompstraat 36,in de Reinier Claeszenstraat,1,Actueel,,14,Inbusbout,,,,BC09,POINT (119249.8 487251.4),J
33,10281187,Filips van Almondestraat 2,,1,Actueel,,14,Inbusbout,,,,BC19,POINT (119011.8 487053.2),J
34,10281188,Filips van Almondestraat 8/10,,1,Actueel,,14,Inbusbout,,,,BC19,POINT (118985.0 487049.4),J
35,10281189,Filips van Almondestraat 20,,1,Actueel,,14,Inbusbout,,,,BC19,POINT (118953.6 487044.8),J
36,10281190,Filips van Almondestraat 32,,1,Actueel,,14,Inbusbout,,,,BC19,POINT (118915.0 487039.2),J
37,10281191,Jan van Riebeekstraat 25,(niet te meten),1,Actueel,,14,Inbusbout,0.0,0.0,,BC19,POINT (118905.2 487096.0),J
38,10281192,Jan van Riebeekstraat 15/17,(niet te meten),1,Actueel,,14,Inbusbout,0.0,0.0,,BC19,POINT (118925.9 487098.9),J
39,10181015,Jan van Galenstraat 249,!meterbaak! (def.meting Sloten 3832),1,Actueel,,2,Kleine ronde bout,40.0,96.0,,BB42,POINT (118500.0 487377.0),J
40,10181016,Jan van Galenstraat 251,!meterbaak! (def.meting Sloten 3832),1,Actueel,,2,Kleine ronde bout,-36.0,9.0,,BB42,POINT (118496.0 487376.0),J
41,10181017,Mercatorstraat 85,(def.meting Sloten 3832),1,Actueel,,2,Kleine ronde bout,222.0,103.0,,BB41,POINT (118412.0 487338.0),J
42,10181018,Hoofdweg 368,(def.meting Sloten 3832),1,Actueel,,2,Kleine ronde bout,53.0,65.0,,BB41,POINT (118382.0 487266.0),J
43,10181019,Jan van Galenstraat 172,(def.meting Sloten 3832),1,Actueel,,2,Kleine ronde bout,-34.0,57.0,,BB40,POINT (118380.0 487371.0),J
44,10181020,Jan van Galenstraat 202/204,zijgevel (def.meting Sloten 3832),3,Vervallen,2009-07-13,2,Kleine ronde bout,42.0,93.0,,BB35,POINT (118235.0 487328.0),J
45,10181021,Griseldestraat 2,gevel Erasmusgracht (def.meting Sloten 3832),1,Actueel,,2,Kleine ronde bout,17.0,94.0,,BB09,POINT (118384.0 487727.0),J
46,10181022,Lanseloetstraat 1,gevel Erasmusgracht (def.meting Sloten 3832),1,Actueel,,2,Kleine ronde bout,45.0,49.0,,BB09,POINT (118424.0 487741.0),J
47,10181023,Lanseloetstraat 2,gevel Erasmusgracht (def.meting Sloten 3832),1,Actueel,,2,Kleine ronde bout,17.0,92.0,,BB11,POINT (118447.0 487747.0),J
48,10181024,Erasmusgracht 27,(def.meting Sloten 3832),1,Actueel,,2,Kleine ronde bout,61.0,78.0,,BB35,POINT (118168.0 487594.0),J
49,10181027,Hoofdweg 396/398,(midden in pilaar portiek)(def.meting Sloten 3832),1,Actueel,,2,Kleine ronde bout,0.0,143.0,W,BB40,POINT (118339.8 487401.8),J
50,10181028,Hoofdweg 388,hoek Jan van Galenstraat (def.meting Sloten 2068),3,Vervallen,2007-02-21,2,Kleine ronde bout,-492.0,46.0,ZW,BB40,POINT (118351.6 487371.0),J
51,10181029,Jan van Galenstraat 172,"(roestvrij stalen pen ""De Waal"")(def.meting Sloten 2068)",1,Actueel,,99,Onbekend,-62.0,100.0,Z,BB40,POINT (118380.5 487371.1),J
52,10181030,Jan van Galenstraat 172,"(roestvrij stalen pen ""De Waal"")(def.meting Sloten 2068)",1,Actueel,,99,Onbekend,-2.0,24.0,O,BB40,POINT (118374.3 487372.1),J
53,10181031,Hoofdweg 390,"(roestvrij stalen pen ""De Waal"")(def.meting Sloten 2068)",3,Vervallen,2007-02-21,99,Onbekend,-16.0,12.0,Z,BB40,POINT (118346.5 487381.1),J
54,10181033,Jan van Galenstraat 168,"(roestvrij stalen pen ""De Waal"")(def.meting Sloten 2068)",1,Actueel,,99,Onbekend,13.0,19.0,Z,BB40,POINT (118382.7 487365.9),J
55,10181034,Hoofdweg 388,hoek Jan van Galenstraat)(def.meting Sloten 2068),3,Vervallen,2007-02-21,2,Kleine ronde bout,-268.0,50.0,Z,BB40,POINT (118353.8 487371.0),J
56,10181037,Jan van Galenstraat 176,(def.meting Sloten 2068),3,Vervallen,2007-02-21,2,Kleine ronde bout,32.0,49.0,Z,BB40,POINT (118359.5 487370.8),J
57,10181038,Jan van Galenstraat 176,(def.meting Sloten 2068),3,Vervallen,2007-02-21,2,Kleine ronde bout,-35.0,52.0,Z,BB40,POINT (118364.1 487370.8),J
58,10181039,Jan van Galenstraat 174/176,(def.meting Sloten 2068),1,Actueel,,2,Kleine ronde bout,23.0,18.0,W,BB40,POINT (118366.6 487370.8),J
59,10181040,Jan van Galenstraat 174,(def.meting Sloten 2068),1,Actueel,,2,Kleine ronde bout,34.0,50.0,Z,BB40,POINT (118369.3 487370.7),J
60,10181041,Jan van Galenstraat 172,(def.meting Sloten 2068),1,Actueel,,2,Kleine ronde bout,-34.0,61.0,Z,BB40,POINT (118373.9 487370.7),J
61,10181043,Jan van Galenstraat 172,(def.meting Sloten 2068),1,Actueel,,2,Kleine ronde bout,42.0,34.0,W,BB40,POINT (118378.1 487372.7),J
62,10181045,Hoofweg 392/394,(midden in pilaar portiek)(def.meting Sloten 2068),1,Actueel,,2,Kleine ronde bout,0.0,141.0,W,BB40,POINT (118343.5 487390.4),J
63,10181046,Hoofweg 392,(def.meting Sloten 2068),1,Actueel,,2,Kleine ronde bout,24.0,24.0,W,BB40,POINT (118344.2 487388.1),J
64,10181048,Hoofweg 390,(in rond hardstenen kozijn)(def.meting Sloten 2068),3,Vervallen,2007-02-21,2,Kleine ronde bout,0.0,47.0,W,BB40,POINT (118346.3 487381.2),J
65,10181049,Hoofweg 388/390,(in rond hardstenen raamkozijn)(def.meting Sloten 2068),3,Vervallen,2007-02-21,2,Kleine ronde bout,0.0,20.0,NW,BB40,POINT (118347.0 487379.0),J
66,10181050,Hoofweg 388,(def.meting Sloten 2068),3,Vervallen,2007-02-21,2,Kleine ronde bout,15.0,54.0,W,BB40,POINT (118347.8 487376.6),J
67,10181051,Hoofweg 388,(def.meting Sloten 2068),3,Vervallen,2007-02-21,2,Kleine ronde bout,34.0,57.0,W,BB40,POINT (118348.8 487373.5),J
68,10181053,Jan van Galenstraat 178,"(roestvrij stalen pen ""De Waal"")(def.meting Sloten 2068)",3,Vervallen,2007-02-21,99,Onbekend,-12.0,12.0,Z,BB40,POINT (118359.2 487372.4),J
69,10181054,Jan Evertsenstraat 143,hoek Orteliusstraat (def.meting Sloten 3832),1,Actueel,,14,Inbusbout,-130.0,41.0,,BE02,POINT (118382.8 487011.6),J
70,10181055,Jan Evertsenstraat 141,(x = vanaf deurpost)(def.meting Sloten 3832),1,Actueel,,14,Inbusbout,-34.0,85.0,,BE02,POINT (118397.7 487016.1),J
71,10181056,Jan Evertsenstraat 139,(def.meting Sloten 3832),1,Actueel,,14,Inbusbout,30.0,100.0,,BE02,POINT (118401.7 487018.6),J
72,10181057,Jan Evertsenstraat 137A,(def.meting Sloten 3832),1,Actueel,,14,Inbusbout,-13.0,99.0,,BE02,POINT (118405.0 487020.3),J
73,10181058,Jan Evertsenstraat 146,(x = uit deurpost)(def.meting Sloten 3832),1,Actueel,,14,Inbusbout,-428.0,92.0,,BB38,POINT (118392.0 487045.3),J
74,10181059,Jan Evertsenstraat 144 / Hoofdweg 311,(def.meting Sloten 3832),1,Actueel,,14,Inbusbout,-27.0,4.0,,BB38,POINT (118411.4 487048.7),J
75,10181060,Jan van Galenstraat 305,(x = uit raamkozijn)(def.meting Sloten 3832),1,Actueel,,14,Inbusbout,9.0,14.0,,BB37,POINT (118256.9 487310.5),J
76,10181061,Orteliusstraat 283,(x = uit deurkozijn)(def.meting Sloten 3832),1,Actueel,,14,Inbusbout,15.0,12.0,,BB37,POINT (118272.9 487298.7),J
77,10181062,Jan van Galenstraat 301 hoek Orteliusstraat 284,(def.meting Sloten 3832),3,Vervallen,1998-11-01,14,Inbusbout,-17.0,84.0,,BB38,POINT (118289.3 487319.4),J
78,10181063,Jan van Galenstraat 295/297,(def.meting Sloten 3832),3,Vervallen,1998-11-01,14,Inbusbout,20.0,68.0,,BB38,POINT (118310.0 487325.0),J
79,10181064,Orteliusstraat 248,(x = uit deurpost)(def.meting Sloten 3832),1,Actueel,,14,Inbusbout,-17.0,14.0,,BB38,POINT (118319.9 487213.8),J
80,10181065,Orteliusstraat 226,(x = uit deurpost)(def.meting Sloten 3832),1,Actueel,,14,Inbusbout,19.0,12.0,,BB38,POINT (118340.5 487146.3),J
