,identificatie,adres,locatie,status_id,status_omschrijving,vervaldatum,merk_id,merk_omschrijving,xmuurvlak,ymuurvlak,windrichting,bouwblok_code,hoogte_tov_nap,datum,peilmerknummer,geometrie,publiceerbaar
0,10189000,Mercatorplein 102,(kiosk),1,Actueel,,0,Ronde bout met opschrift NAP,23.0,23.0,ZW,,0.825,1999-06-01,,POINT (118453.2 487019.9),J
1,10189001,,Hoofdweg 495 (tweede kolom),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-5.0,20.0,O,,2.3003,2004-11-19,,POINT (118202.7 487702.2),J
2,10189002,Fridtjof Nansenhof 43/44,gevel Jan van Galenstraat,1,Actueel,,2,Kleine ronde bout,-10.0,28.0,Z,,1.157,2004-11-19,,POINT (118174.7 487335.3),J
3,10280001,Walmuur tegenover Kostverlorenkade 21 (x = vanaf rechtstand,N-vleugel van O-landhoofd van de brug in de Clerqstraat),1,Actueel,,0,Ronde bout met opschrift NAP,92.0,-94.0,W,,2.0432,1939-04-01,10280001,POINT (119460.0 487060.0),J
4,10280002,,Tweede Kostverlorenkade 5,1,Actueel,,3,Knopbout,-43.0,17.0,NW,,1.5877,1927-01-01,10280002,POINT (119518.0 487128.0),J
5,10180001,W-vleugelmuur van het Z-bruggehoofd over de Erasmusgracht,in de Hoofdweg (x = vanaf zerk; y = onder deksteen),1,Actueel,,1,Ronde bout of althans aan de bovenzijde ronde bout zonder opschrift of met opschrift anders dan NAP,184.0,-114.0,W,,1.6321,1952-01-01,10180001,POINT (118232.1 487629.64),J
6,10180002,Jan van Galenstraat 279,(op de hoogte van de raamdorpel),1,Actueel,,3,Knopbout,-104.0,78.0,N,,1.2855,1927-01-01,10180002,POINT (118390.1 487347.1),J
7,10180003,Mercatorplein 34,(x = van de dag van de poort),1,Actueel,,1,Ronde bout of althans aan de bovenzijde ronde bout zonder opschrift of met opschrift anders dan NAP,17.0,53.0,W,,0.9607,1952-01-01,10180003,POINT (118490.0 487080.0),J
8,10180010,Op de hoek van de James Rosskade en de Jan van Galenstraat,aan de no-zijde van fietserstunnel,1,Actueel,,0,Ronde bout met opschrift NAP,-19.0,30.0,N,,1.0671,1991-10-01,10180010,POINT (117956.8 487312.4),J
9,10389001,Hugo de Grootkade 20,(zijgevel; ref.punt A van def.meting Y 172),1,Actueel,,2,Kleine ronde bout,17.0,88.0,O,,1.9072,1991-12-01,,POINT (120054.15 487402.32),J
10,10389002,Hugo de Grootkade 20,(onder poort v.a. de voorgevel; ref.punt 2 def.meting Y 172),1,Actueel,,2,Kleine ronde bout,4.0,71.0,O,,1.3228,1988-07-29,,POINT (119991.54 487380.9),J
11,10389003,Van Houweningenstraat 215/231,(nieuwbouw) (ref.punt 1 van def.meting Y 172),1,Actueel,,2,Kleine ronde bout,-13.0,88.0,W,,1.5588,1988-07-29,,POINT (119842.8 487381.9),J
12,10389004,,Van Oldenbarneveldtstraat 103,1,Actueel,,99,Onbekend,140.0,14.0,W,,0.7349,1999-06-01,,POINT (120033.6 487446.1),J
13,10389005,,Frederik Hendrikstraat 117A-E,1,Actueel,,99,Onbekend,-21.0,12.0,W,,0.7761,1999-06-01,,POINT (119958.7 487486.0),J
14,10389006,van Oldenbarneveldtstraat 56 naast rechter poort,,3,Vervallen,2006-11-06,99,Onbekend,22.0,7.0,O,,0.6969,1999-06-01,,POINT (120084.4 487624.4),J
15,10389007,Eerste Hugo de Grootstraat 18,in de Van Oldenbarneveldtstraat,1,Actueel,,99,Onbekend,-13.0,13.0,W,,0.7789,1999-06-01,,POINT (120124.6 487688.4),J
16,10389008,Tuinstraat 244/248,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,8.0,25.0,Z,YJ31,0.8885,1999-06-01,,POINT (120415.0 487739.3),J
17,10389009,Bloemgracht 174,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-7.0,5.0,ZO,YJ48,0.4888,1999-06-01,,POINT (120300.5 487483.9),J
18,10389010,Bloemgracht 174,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,16.0,6.0,ZO,YJ48,2.7336,1999-06-01,,POINT (120295.6 487482.2),J
19,10389011,Lauriergracht 109,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,8.0,13.0,NW,YJ72,0.64,1999-06-01,,POINT (120338.9 487090.8),J
20,10389012,Lauriergracht 109,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-18.0,90.0,NW,YJ72,0.6054,1999-06-01,,POINT (120334.1 487088.8),J
21,10389013,,Rozenstraat 152A-C,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,19.0,13.0,ZO,YJ63,0.8474,1999-06-01,,POINT (120394.6 487280.0),J
22,10389014,,Rozenstraat 152A-C,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,13.0,13.0,ZO,YJ63,0.8464,1999-06-01,,POINT (120386.8 487276.7),J
23,10389015,Tuinstraat 244/248,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-7.0,24.0,Z,YJ31,0.8881,1999-06-01,,POINT (120418.9 487740.5),J
24,10389017,Da Costakade 24,,1,Actueel,,99,Onbekend,4.0,14.0,ZO,,2.249,1999-06-01,,POINT (119906.6 487197.7),J
25,10480004,Prinsengracht 437,(Gemeentelijk kledingmagazijn),1,Actueel,,1,Ronde bout of althans aan de bovenzijde ronde bout zonder opschrift of met opschrift anders dan NAP,16.0,30.0,O,,1.0544,1952-01-01,10480004,POINT (120669.5 487110.0),J
26,10480006,Nieuwezijds Voorburgwal 147,"(""Koninklijk Paleis"" inspringend gedeelte)",1,Actueel,,7,"Bijzondere merktekens bijvoorbeeld zeskantige bout, stalen pen etc.",-116.0,105.0,W,,3.0923,1933-01-01,10480006,POINT (121203.6 487342.7),J
27,10489000,Tweede Egelantiersdwarsstraat 30,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-11.0,106.0,O,YJ41,1.5619,1999-06-01,,POINT (120616.0 487732.8),J
28,10489001,Egelantiersgracht 72,in de Tweede Egelantiersdwarsstraat,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,24.0,55.0,O,YJ41,1.5772,1999-06-01,,POINT (120619.3 487723.5),J
29,10489002,Eerste Bloemdwarsstraat 9,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,16.0,47.0,W,YJ56,0.975,1999-06-01,,POINT (120559.0 487514.4),J
30,10489003,Eerste Bloemdwarsstraat 9,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-16.0,41.0,W,YJ56,0.9357,1999-06-01,,POINT (120560.7 487510.2),J
31,10489004,,Keizersgracht 171A-F,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-7.0,3.0,NW,YE29,2.9005,1999-06-01,,POINT (120854.5 487546.9),J
32,10489005,,Keizersgracht 171A-F,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,9.0,3.0,NW,YE29,2.9819,1999-06-01,,POINT (120860.3 487556.8),J
33,10489006,,"Singel 174A-D (huls zit er nog, inbusbout verwijderd)",3,Vervallen,2018-07-23,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-3.0,113.0,ZO,YE25,2.9144,1999-06-01,,POINT (121089.4 487556.8),J
34,10489007,Singel 176A-D,"(Mogelijk punt 10481378), in 2018 hoogte 1,8757 ?",1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,6.0,8.0,ZO,YE25,1.8955,1999-06-01,,POINT (121082.7 487547.1),J
35,10489008,Sint Nicolaasstraat 33/41,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,7.0,20.0,N,YB36,1.076,1999-06-01,,POINT (121326.2 487560.3),J
36,10489009,Sint Nicolaasstraat 33/41,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-20.0,18.0,N,YB36,1.0199,1999-06-01,,POINT (121316.9 487557.8),J
37,10489010,Spuistraat 189,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-12.0,23.0,W,YC02,0.8834,1999-06-01,,POINT (121109.6 487229.7),J
38,10489011,Spuistraat 189,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-10.0,62.0,W,YC02,1.5328,1999-06-01,,POINT (121111.4 487246.4),J
39,10489012,,Keizersgracht 237A-C,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-16.0,182.0,W,YE35,3.3968,1999-06-01,,POINT (120814.4 487260.0),J
40,10489013,,Keizersgracht 237A-C,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,17.0,157.0,W,YE35,3.2521,1999-06-01,,POINT (120815.1 487268.4),J
41,10489014,,Lauriergracht 4,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-6.0,41.0,ZO,YJ70,1.6293,1999-06-01,,POINT (120620.0 487239.3),J
42,10489015,Lauriergracht 4,(linker bouwmuur),3,Vervallen,2005-02-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,8.0,68.0,ZO,YJ70,1.5417,1999-06-01,,POINT (120609.4 487234.9),J
43,10489016,Keizersgracht 307,(naast rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-285.0,62.0,W,YE40,1.7938,1999-06-01,,POINT (120799.7 487037.8),J
44,10489017,Rokin 81,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-12.0,205.0,W,YA35,2.5715,1999-06-01,,POINT (121338.9 487060.2),J
45,10489018,Kalverstraat 19,(linker bouwmuur),3,Vervallen,2005-02-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,0.0,30.0,W,YC35,1.8927,1999-06-01,,POINT (121281.0 487243.9),J
46,10489020,,Singel 309A,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,4.0,15.0,W,YC01,1.0505,1999-06-01,,POINT (121037.7 487068.5),J
47,10489021,Singel 309A,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,5.0,17.0,W,YC01,1.092,1999-06-01,,POINT (121037.1 487063.9),J
48,10489022,Nieuwezijds Voorburgwal 56/60,(y=boven plint)(linker bouwmuur),3,Vervallen,2005-02-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,10.0,0.0,ZO,YB22,2.0064,1999-06-01,,POINT (121376.5 487725.8),J
49,10489023,Keizersgracht 307,hoek Wolvenstraat,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,22.0,32.0,W,YE40,1.9711,1999-06-01,,POINT (120800.8 487054.7),J
50,10489024,Rokin 81,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-22.0,31.0,W,YA35,0.8243,1999-06-01,,POINT (121340.0 487065.5),J
51,10489027,Wolvenstraat 27??,(links in gevel),3,Vervallen,2012-10-02,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,0.0,0.0,,YE40,1.4542,2000-06-01,,POINT (120824.6 487053.4),J
52,10489028,Wolvenstraat 27,hoek Keizersgracht;zelfde punt als 10489023 rechts in gevel,3,Vervallen,2010-01-01,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,22.0,30.0,,YE40,2.7168,2000-06-01,,POINT (120821.1 487053.7),J
53,10489029,Cellebroerssteeg 2,gevel rechts van Nes 98,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,12.0,6.0,O,YA35,1.0753,2000-06-01,,POINT (121373.5 487049.0),J
54,10489030,Prinsengracht 377 B-C,"(in 2000 is er een hoogte van 0.8822, deze is verwijderd, omschrijving was huisnr 379 A-E)",1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-17.0,45.0,W,YE34,1.067,2018-06-01,,POINT (120675.4 487206.3),J
55,10489031,Pieter Jacobszstraat 10A-H,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,20.0,30.0,N,YA30,1.5958,2000-06-01,,POINT (121422.1 487214.4),J
56,10489032,Brug 51 Leliegracht over Keizersgracht,(Noord-west vleugel) (x uit hoekovergang),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,50.0,11.0,,,2.4312,2000-06-01,,POINT (120866.8 487637.9),J
57,10489033,Berenstraat 21/33,(in kolom),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-5.0,16.0,N,YE39,1.4217,2000-06-01,,POINT (120687.1 487062.6),J
58,10489034,Blauwburgwal 17,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,0.0,103.0,NO,YE24,2.084,2000-06-01,,POINT (121167.7 487749.8),J
59,10489035,Bloemgracht 49,hoek Eerste Bloemdwarsstraat,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,15.0,6.0,NW,YJ56,1.0237,2000-06-01,,POINT (120549.3 487544.5),J
60,10580002,"Oudekerksplein 15 ""Oudekerkstoren"" rechts van de pilaster",rechts van de ingang (x = pilaster  y = zandstenen plint).,1,Actueel,,7,"Bijzondere merktekens bijvoorbeeld zeskantige bout, stalen pen etc.",31.0,64.0,NW,,2.4367,1926-01-01,10580002,POINT (121651.4 487497.2),J
61,10580007,Oudeschans 2,"(Noordwest gevel van de ""Montelbaanstoren"")",3,Vervallen,2018-05-03,1,Ronde bout of althans aan de bovenzijde ronde bout zonder opschrift of met opschrift anders dan NAP,275.0,96.0,N,,3.6852,1927-01-01,10580007,POINT (122206.9 487243.6),J
62,10580008,Oudeschans 35 (School voor voorbereidend onderwijs),(x = meest linkse hoekpilaster y = hardstenen plint),1,Actueel,,3,Knopbout,-28.0,14.0,NW,,2.6478,1926-01-01,10580008,POINT (122130.0 487120.0),J
63,10580010,"Zijgevel Kloveniersburgwal 48 van het ""Oost Indisch Huis""",a/d Oude Hoogstraat 24 (X=2e pilaster Y=hardst. plintafd.).,3,Vervallen,2018-05-03,1,Ronde bout of althans aan de bovenzijde ronde bout zonder opschrift of met opschrift anders dan NAP,22.0,-11.0,NO,,1.9169,1952-01-01,10580010,POINT (121700.0 487120.0),J
64,10580011,"Bovenkant hakkelbout in de noordoost toren van de ""Sint An-","thoniewaag"" Nieuwmarkt 4 (x=dag deur (1617) y=midden bout)",1,Actueel,,15,Koperen hakkelbout,114.0,-50.0,Z,,3.0011,1953-01-01,10580011,POINT (121854.4 487322.6),J
65,24389000,,Zaanstraat 353 (school),3,Vervallen,2010-01-01,2,Kleine ronde bout,-26.0,22.0,N,,0.9276,2008-10-01,,POINT (119855.0 489452.0),J
66,24389001,,Hembrugstraat 207-223,1,Actueel,,2,Kleine ronde bout,-23.0,20.0,NO,,0.9282,2008-10-01,,POINT (120078.4 489363.5),J
67,10889000,Levantkade 21/43,,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,23.0,77.0,Z,,2.4552,1992-08-11,,POINT (124445.7 487699.9),J
68,10889001,C. van Eesterenlaan,(zie overzicht meting archief; pakje A 265),3,Vervallen,2012-10-02,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,0.0,0.0,N,,3.0109,1992-12-22,,POINT (124426.7 487017.7),J
69,10889002,Borneolaan 252/296,(zie overzicht meting archief; pakje A 265),3,Vervallen,2012-10-02,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,0.0,0.0,N,,2.9391,1992-12-22,,POINT (124360.4 487060.3),J
70,10980001,Hoofdweg 251,,1,Actueel,,1,Ronde bout of althans aan de bovenzijde ronde bout zonder opschrift of met opschrift anders dan NAP,-21.0,53.0,O,,1.1231,1952-01-01,10980001,POINT (118550.0 486760.0),J
71,10989001,Postjesweg 125,nabij westelijke gevelhoek,1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-22.0,77.0,N,,1.7032,1997-03-26,,POINT (118490.7 486380.8),J
72,10989002,Van Spilbergenstraat 155,(naast grijze kast),1,Actueel,,99,Onbekend,-13.0,24.0,N,,0.8024,1999-06-01,,POINT (118390.0 486870.4),J
73,11080007,Bellamystraat 19,(y = boven plint),1,Actueel,,3,Knopbout,17.0,39.0,NW,,1.4631,1926-01-01,11080007,POINT (119521.5 486708.1),J
74,10589000,Nieuwendijk 106,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-6.0,95.0,ZO,YB13,3.082,1999-06-01,,POINT (121569.4 487744.6),J
75,10589001,Nieuwendijk 106,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,14.0,102.0,ZO,YB13,3.1276,1999-06-01,,POINT (121565.7 487739.7),J
76,10589002,Beursstraat 29,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,17.0,9.0,NW,YA12,1.3842,1999-06-01,,POINT (121585.0 487544.1),J
77,10589003,Beursstraat 29,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-16.0,9.0,MW,YA12,1.3819,1999-06-01,,POINT (121581.1 487540.5),J
78,10589005,Zeedijk 6,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,0.0,9.0,NO,YA03,2.8499,1999-06-01,,POINT (121845.4 487682.0),J
79,10589008,Kalkmarkt 3,(rechter bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,-22.0,95.0,ZO,YD03,3.0564,1999-06-01,,POINT (122300.9 487323.5),J
80,10589009,Kalkmarkt 3,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,5.0,8.0,ZO,YD03,2.8044,1999-06-01,,POINT (122296.3 487320.1),J
81,10589010,Recht Boomsloot 71A-E,(linker bouwmuur),1,Actueel,,14,Inbusbout (cilinderschroef met binnenzeskant) in slaganker M6,30.0,17.0,ZW,YD11,1.4675,1999-06-01,,POINT (122066.0 487263.4),J
