rollaagid,name
AE26,AE26
AE28,AE28
AA31,AA31
AB01,AB01
AB02,AB02
AB03,AB03
AB06,AB06
AB07,AB07
AB08,AB08
AB10,AB10
AB11,AB11
AB13,AB13
AB14,AB14
AB15,AB15
AB16,AB16
AB17,AB17
AB20,AB20
AB21,AB21
AB23,AB23
AB24,AB24
AB28,AB28
AB29,AB29
AB30,AB30
AB31,AB31
AB32,AB32
AB38,AB38
AC02,AC02
AC04,AC04
AC05,AC05
AC07,AC07
AC08,AC08
AC12,AC12
AC14,AC14
AC15,AC15
AC16,AC16
AC17,AC17
AC18,AC18
AC19,AC19
AC23,AC23
AC24,AC24
AD02,AD02
AD04,AD04
AD05,AD05
AD06,AD06
AD07,AD07
AD08,AD08
AD11,AD11
AD12,AD12
AD13,AD13
AD14,AD14
AD15,AD15
AD16,AD16
AD17,AD17
AD18,AD18
AD19,AD19
AD20,AD20
AD23,AD23
AD27,AD27
AD28,AD28
AD31,AD31
AD32,AD32
AD33,AD33
AD34,AD34
AD35,AD35
AD36,AD36
AD37,AD37
AD38,AD38
AD39,AD39
AD40,AD40
AD43,AD43
AD58,AD58
AD59,AD59
AD60,AD60
AD61,AD61
AD62,AD62
AD63,AD63
AD64,AD64
AD65,AD65
AE01,AE01
AE02,AE02
AE03,AE03
AE04,AE04
AE05,AE05
AE06,AE06
AE07,AE07
AE08,AE08
AE09,AE09
AE10,AE10
AE11,AE11
AE12,AE12
AE13,AE13
AE14,AE14
AE15,AE15
AE16,AE16
AE17,AE17
AE18,AE18
AE19,AE19
AE20,AE20
AE21,AE21
AE22,AE22
AE23,AE23
AE24,AE24
AE29,AE29
AE30,AE30
AE31,AE31
AE32,AE32
AE33,AE33
AE34,AE34
AE35,AE35
AE36,AE36
AE37,AE37
AE38,AE38
AE39,AE39
AE40,AE40
AE44,AE44
AE45,AE45
AE46,AE46
AE47,AE47
AE48,AE48
AE49,AE49
AE50,AE50
AE52,AE52
AE53,AE53
AE57,AE57
AE58,AE58
AE60,AE60
AF02,AF02
AF03,AF03
AF04,AF04
AF05,AF05
AF06,AF06
AF07,AF07
AF08,AF08
